Commune,Region,Departement,Nom_monument,Siecle,Latitude,Longitude;
Cerzat,Auvergne-Rhone-Alpes,Haute-Loire,Chateau du Chambon,15e siecle,45.1423448057, 3.46763902522;
Saint-Hostien,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Champ,15e siecle,45.0740220882, 4.05015261095;
Vieille-Brioude,Auvergne-Rhone-Alpes,Haute-Loire,Pont de la Bajasse (egalement sur commune de Fontannes),15e siecle,45.2770508585, 3.41038174639;
Brioude,Auvergne-Rhone-Alpes,Haute-Loire,Maison du 15e siecle,15e siecle,45.293683904, 3.38354517635;
Jullianges,Auvergne-Rhone-Alpes,Haute-Loire,Eglise Saint-Andre,15e siecle,45.3058098107, 3.79169524726;
Brives-Charensac,Auvergne-Rhone-Alpes,Haute-Loire,Pont de la Chartreuse,15e siecle,45.0530894725, 3.91675887586;
Saint-Georges-d'Aurac,Auvergne-Rhone-Alpes,Haute-Loire,Maison-forte d'Aziniere,15e siecle,45.1691246051, 3.54540617704;
Saint-Romain-Lachalm,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Saint-Romain-Lachalm,15e siecle,45.2648222845, 4.33756866345;
Saint-Cirgues,Auvergne-Rhone-Alpes,Haute-Loire,Eglise Saint-Cirgues,15e siecle,45.1456711551, 3.40390719988;
Saint-Didier-d'Allier,Auvergne-Rhone-Alpes,Haute-Loire,Eglise Saint-Didier,15e siecle,44.9696957979, 3.69364358526;
Chenereilles,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de la Borie,15e siecle,45.1316627848, 4.21370019704;
Grazac,Auvergne-Rhone-Alpes,Haute-Loire,Prieure fortifie,15e siecle,45.1882899505, 4.18338960064;
Domeyrat,Auvergne-Rhone-Alpes,Haute-Loire,Ruines du chateau fort,15e siecle,45.2511583115, 3.50166562529;
Vals-le-Chastel,Auvergne-Rhone-Alpes,Haute-Loire,Eglise Saint-Paul,15e siecle,45.2701128321, 3.5214722463;
Saint-Germain-Laprade,Auvergne-Rhone-Alpes,Haute-Loire,Chateau du Villard,15e siecle,45.0039778293, 4.03164992163;
Retournac,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Mercuret,15e siecle,45.1873794356, 4.0510461654;
Lavoûte-Chilhac,Auvergne-Rhone-Alpes,Haute-Loire,Prieure de Lavoûte-Chilhac,15e siecle,45.1477083714, 3.40244244644;
Aurec-sur-Loire,Auvergne-Rhone-Alpes,Haute-Loire,Chateau d'Aurec,15e siecle,45.3681042143, 4.19986541018;
Saint-Jeures,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Salcrupt,15e siecle,45.0870503467, 4.23276859687;
Retournac,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Chabanoles,15e siecle,45.1875846198, 4.04107357017;
Chamalieres-sur-Loire,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Ventressac,15e siecle,45.204309747, 4.00211022679;
Le Puy-en-Velay,Auvergne-Rhone-Alpes,Haute-Loire,Couvent de Sainte-Claire,15e siecle,45.0444087451, 3.88832943005;
Vergezac,Auvergne-Rhone-Alpes,Haute-Loire,Chateau du Thiollent,15e siecle,45.0440936751, 3.71361160534;
Le Brignon,Auvergne-Rhone-Alpes,Haute-Loire,Eglise Saint-Martin,15e siecle,44.93526987, 3.88102059468;
Auzon,Auvergne-Rhone-Alpes,Haute-Loire,Porte du Brugelet,15e siecle,45.3913719315, 3.37146822321;
Beaulieu,Auvergne-Rhone-Alpes,Haute-Loire,Chateau d'Adiac,15e siecle,45.1276362429, 3.96620960408;
Saint-Jean-Lachalm,Auvergne-Rhone-Alpes,Haute-Loire,Chateau de Sejallieres,15e siecle,44.920428783, 3.72086586115;
Valprivas,Auvergne-Rhone-Alpes,Haute-Loire,Chateau actuellement centre culturel de Valprivas,15e siecle,45.3115121518, 4.04256245674 actuellement centre culturel de Valprivas,15e siecle,45.3115121518, 4.04256245674;
Domeyrat,Auvergne-Rhone-Alpes,Haute-Loire,Pont sur la Senouire dit Pont Vieux,15e siecle,45.2499987372, 3.50173458376 dit Pont Vieux,15e siecle,45.2499987372, 3.50173458376;
Pradelles,Auvergne-Rhone-Alpes,Haute-Loire,Maison Frevol,15e siecle,44.7693043752, 3.88308197686;
Fontannes,Auvergne-Rhone-Alpes,Haute-Loire,Pont de la Bajasse,15e siecle,45.288697, 3.424575;
Sanssac-l'Eglise,Auvergne-Rhone-Alpes,Haute-Loire,Domaine du Barret,15e siecle,45.0489913039, 3.77015055613;
Saint-Pal-de-Chalencon,Auvergne-Rhone-Alpes,Haute-Loire,Chateau fort,15e siecle,45.3564535563, 3.95596616796;
Roffiac,Auvergne-Rhone-Alpes,Cantal,Ancien chateau,15e siecle,45.0518952403, 3.03935958318;
Salers,Auvergne-Rhone-Alpes,Cantal,Maison de Bargues,15e siecle,45.1375495006, 2.49456656593;
Cheylade,Auvergne-Rhone-Alpes,Cantal,Chateau d'Escorolles,15e siecle,45.1939062681, 2.7063537836;
Pleaux,Auvergne-Rhone-Alpes,Cantal,Ruines du chateau fort de Branzac,15e siecle,45.112869654, 2.3239664159;
Thiezac,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Martin,15e siecle,45.0143187926, 2.66427915463;
Bonnac,Auvergne-Rhone-Alpes,Cantal,Prieure de Bonnac,15e siecle,45.2073900007, 3.15750988151;
Anglards-de-Salers,Auvergne-Rhone-Alpes,Cantal,Chateau de la Tremoliere,15e siecle,45.2062504953, 2.44057568625;
Salers,Auvergne-Rhone-Alpes,Cantal,Maison de la Ronade,15e siecle,45.1374574909, 2.49412476084;
Saint-Martin-sous-Vigouroux,Auvergne-Rhone-Alpes,Cantal,Chateau de Vigouroux,15e siecle,44.9523785975, 2.80009739142;
Les Ternes,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Martin,15e siecle,44.9970877513, 3.01588800192;
Marmanhac,Auvergne-Rhone-Alpes,Cantal,Chateau d'Estang,15e siecle,44.9995511909, 2.46866563476;
Marcoles,Auvergne-Rhone-Alpes,Cantal,Fortifications d'agglomeration,15e siecle,44.781819665, 2.35364399282;
Cezens,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Germain,15e siecle,44.9844268276, 2.85587710016;
Murat,Auvergne-Rhone-Alpes,Cantal,Maison dite du Baillage,15e siecle,45.1116289041, 2.86850237523;
Fontanges,Auvergne-Rhone-Alpes,Cantal,Chateau de Palmont,15e siecle,45.1266420825, 2.48240602495;
La Monselie,Auvergne-Rhone-Alpes,Cantal,Chateau de Murat-la-Rabbe,15e siecle,45.3164760717, 2.55585309776;
Salers,Auvergne-Rhone-Alpes,Cantal,Maison des Templiers,15e siecle,45.1372804676, 2.49367062538;
Rouffiac,Auvergne-Rhone-Alpes,Cantal,Chateau de la Pachevie,15e siecle,45.0384760607, 2.11565286261;
Saint-Santin-Cantales,Auvergne-Rhone-Alpes,Cantal,Chateau de Vals,15e siecle,45.0338642502, 2.27425491653;
La Chapelle-d'Alagnon,Auvergne-Rhone-Alpes,Cantal,Chateau du Jarrousset,15e siecle,45.1047833864, 2.9059460706;
Anglards-de-Salers,Auvergne-Rhone-Alpes,Cantal,Chateau de Longevergne,15e siecle,45.2160529015, 2.45817573276;
Marcoles,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Martin,15e siecle,44.7820829693, 2.35322010307;
Boisset,Auvergne-Rhone-Alpes,Cantal,Chapelle Saint-Pierre,15e siecle,44.7850359009, 2.25418373254;
Vernols,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Jean-Baptiste,15e siecle,45.2265043638, 2.88987199254;
Maurs,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Cesaire ou Saint-Sulpice,15e siecle,44.7105954028, 2.1983953837;
Allanche,Auvergne-Rhone-Alpes,Cantal,Ancien chateau de Mercoeur à&nbsp Maillargues,15e siecle,45.2126352264, 2.94134184188 à&nbsp Maillargues,15e siecle,45.2126352264, 2.94134184188;
Vic-sur-Cere,Auvergne-Rhone-Alpes,Cantal,Chateau de Comblat,15e siecle,44.9699689744, 2.6093982023;
Les Ternes,Auvergne-Rhone-Alpes,Cantal,Chateau des Ternes,15e siecle,44.9970415584, 3.01496574366;
Cros-de-Ronesque,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Hilaire,15e siecle,44.8736859888, 2.61169978607;
Vebret,Auvergne-Rhone-Alpes,Cantal,Chateau fort de Couzan,15e siecle,45.3577938963, 2.5402787348;
Murat,Auvergne-Rhone-Alpes,Cantal,Chateau d'Anterroches,15e siecle,45.1061321095, 2.85213952664;
Saint-Martin-sous-Vigouroux,Auvergne-Rhone-Alpes,Cantal,Chateau de Lescure,15e siecle,44.9444092001, 2.80767465181;
Saint-Flour,Auvergne-Rhone-Alpes,Cantal,Maison consulaire,15e siecle,45.0340592468, 3.09513286654;
Brezons,Auvergne-Rhone-Alpes,Cantal,Donjon de la Boyle,15e siecle,45.0005407764, 2.80785538303;
Saint-Cernin,Auvergne-Rhone-Alpes,Cantal,Chateau de Ragheaud,15e siecle,45.0452180499, 2.39463839546;
Chalvignac,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Martin,15e siecle,45.2410764051, 2.24599367394;
Vic-sur-Cere,Auvergne-Rhone-Alpes,Cantal,Maison dite des Princes de Monaco,15e siecle,44.9800185878, 2.62400112755;
Salers,Auvergne-Rhone-Alpes,Cantal,Porte Martille,15e siecle,45.1376360592, 2.49277010267;
Saint-Vincent-de-Salers,Auvergne-Rhone-Alpes,Cantal,Chateau de la Borie,15e siecle,45.2033861669, 2.53059889787;
Montsalvy,Auvergne-Rhone-Alpes,Cantal,Deux anciennes portes,15e siecle,44.707263, 2.500471;
Saint-Georges,Auvergne-Rhone-Alpes,Cantal,Chateau de Varillettes,15e siecle,45.0274876866, 3.14798876271;
Saint-Martin-Valmeroux,Auvergne-Rhone-Alpes,Cantal,Chateau de Saint-Pol,15e siecle,45.1130811894, 2.40599987674;
Meallet,Auvergne-Rhone-Alpes,Cantal,Chateau fort de Montbrun,15e siecle,45.2350950821, 2.41764469969;
Albepierre-Bredons,Auvergne-Rhone-Alpes,Cantal,Calvaire sur la place publique de Bredons,15e siecle,45.1017835063, 2.87194169031;
Saint-Flour,Auvergne-Rhone-Alpes,Cantal,Maison (auberge de la Couronne),15e siecle,45.0325786733, 3.09171158637;
Saint-Simon,Auvergne-Rhone-Alpes,Cantal,Chateau d'Oyez,15e siecle,44.9764500754, 2.51497481021;
Aurillac,Auvergne-Rhone-Alpes,Cantal,Maison Capelle,15e siecle,44.9303019126, 2.44353918509;
Lacapelle-Viescamp,Auvergne-Rhone-Alpes,Cantal,Chateau de Viescamp,15e siecle,44.9196831886, 2.28028503811;
Sansac-de-Marmiesse,Auvergne-Rhone-Alpes,Cantal,Eglise Saint-Sauveur,15e siecle,44.882506502, 2.34829831342;
Perouges,Auvergne-Rhone-Alpes,Ain,Ecuries,15e siecle,45.9034394125, 5.17845743615;
Jassans-Riottier,Auvergne-Rhone-Alpes,Ain,Manoir de la Rigaudiere,15e siecle,45.970782375, 4.75666525752;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Thimon,15e siecle,45.9036828397, 5.17980248902;
Perouges,Auvergne-Rhone-Alpes,Ain,Maisons jumelees : maison Magnin et maison Gaillard,15e siecle,45.88721, 5.165846;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Sambet-Bailly,15e siecle,45.9032618173, 5.18020397975;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Salomon,15e siecle,45.9031786821, 5.1806379148;
Chalamont,Auvergne-Rhone-Alpes,Ain,Maison à&nbsp pan de bois,15e siecle,45.996072, 5.169557 pan de bois,15e siecle,45.996072, 5.169557;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Thibault,15e siecle,45.9038496169, 5.17906275341;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Guedon (ancienne),15e siecle,45.88391, 5.17507;
Perouges,Auvergne-Rhone-Alpes,Ain,Rempart attenant à&nbsp un immeuble dit maison Moschard,15e siecle,45.9037028714, 5.18010823895 un immeuble dit maison Moschard,15e siecle,45.9037028714, 5.18010823895;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Raynaud-Gaillard,15e siecle,45.9030162724, 5.1797579484;
Perouges,Auvergne-Rhone-Alpes,Ain,Rempart attenant à&nbsp un immeuble,15e siecle,45.9026104659, 5.18029055526 un immeuble,15e siecle,45.9026104659, 5.18029055526;
Salavre,Auvergne-Rhone-Alpes,Ain,Calvaire de Dingier,15e siecle,46.3617488286, 5.36735405104;
Perouges,Auvergne-Rhone-Alpes,Ain,Maisons et remparts qui en dependent,15e siecle,45.903283, 5.179912;
Perouges,Auvergne-Rhone-Alpes,Ain,Ecurie Schlutz,15e siecle,45.9033510044, 5.1803595271;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison sise face à&nbsp la porte d'En-Haut,15e siecle,45.9033162412, 5.17869221528 la porte d'En-Haut,15e siecle,45.9033162412, 5.17869221528;
Bourg-en-Bresse,Auvergne-Rhone-Alpes,Ain,Porte des Jacobins,15e siecle,46.2033886941, 5.22669250138;
Dortan,Auvergne-Rhone-Alpes,Ain,Chateau de Dortan,15e siecle,46.313348979, 5.66313472369;
Groslee,Auvergne-Rhone-Alpes,Ain,Chateau de Varepe,15e siecle,45.7194645866, 5.57721743842;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Thibaut,15e siecle,45.903188, 5.180131;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Gagneux,15e siecle,45.90279131, 5.17993233245;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Gerlier et remparts qui en dependent,15e siecle,45.9032560977, 5.18065646649;
Perouges,Auvergne-Rhone-Alpes,Ain,Porte d'En-Bas,15e siecle,45.9030057836, 5.18077985673;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Bache,15e siecle,45.9035596045, 5.17996611432;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Vallet,15e siecle,45.9028314416, 5.17936547706;
Perouges,Auvergne-Rhone-Alpes,Ain,Rempart attenant à&nbsp des immeubles,15e siecle,45.9039025018, 5.17967064839 des immeubles,15e siecle,45.9039025018, 5.17967064839;
Perouges,Auvergne-Rhone-Alpes,Ain,Maisons et remparts qui en dependent,15e siecle,45.9030594976, 5.18076465267;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Ruyssen,15e siecle,45.9031176579, 5.18065660266;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Martinet et Grassin,15e siecle,45.903478, 5.178853;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Mandon (restes),15e siecle,45.90272858, 5.18017584561;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Salomon,15e siecle,45.9034424575, 5.1799850942;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Devigne,15e siecle,45.9030748646, 5.17900692285;
Perouges,Auvergne-Rhone-Alpes,Ain,Ecurie,15e siecle,45.9038123497, 5.17988125466;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Magnin,15e siecle,45.9028885, 5.17992652821;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Peychiers,15e siecle,45.9031153332, 5.17962789099;
Bourg-en-Bresse,Auvergne-Rhone-Alpes,Ain,Maison à&nbsp pans de bois,15e siecle,46.205183, 5.223658 pans de bois,15e siecle,46.205183, 5.223658;
Rossillon,Auvergne-Rhone-Alpes,Ain,Eglise Saint-Pierre,15e siecle,45.8335539138, 5.59254692504;
Chatillon-sur-Chalaronne,Auvergne-Rhone-Alpes,Ain,Chateau (ancien),15e siecle,46.1179511879, 4.95531994852;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison et remparts,15e siecle,45.903426048, 5.18045118228;
Arbent,Auvergne-Rhone-Alpes,Ain,Eglise Saint-Laurent,15e siecle,46.2956052494, 5.68285052324;
Belley,Auvergne-Rhone-Alpes,Ain,Maison du Vachat ou maison du Gouverneur,15e siecle,45.7604279745, 5.68745219569;
Montluel,Auvergne-Rhone-Alpes,Ain,Eglise Notre-Dame-des-Marais,15e siecle,45.881353, 5.029104;
Crottet,Auvergne-Rhone-Alpes,Ain,Abbaye (ancienne),15e siecle,46.285131, 4.877743;
Amberieux-en-Dombes,Auvergne-Rhone-Alpes,Ain,Chateau (ancien),15e siecle,45.998391, 4.901858;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Pacard,15e siecle,45.902938545, 5.18044170064;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison contigue à&nbsp la porte d'En-Haut,15e siecle,45.9033328484, 5.17848100783 la porte d'En-Haut,15e siecle,45.9033328484, 5.17848100783;
Andert-et-Condon,Auvergne-Rhone-Alpes,Ain,Chateau d'Andert,15e siecle,45.7819919797, 5.6631040661;
Perouges,Auvergne-Rhone-Alpes,Ain,Porte du mur d'enceinte dite porte d'En-Haut et substructions de la barbacane,15e siecle,45.9033845911, 5.17837513965;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison Grezin,15e siecle,45.902672418, 5.18001340875;
Perouges,Auvergne-Rhone-Alpes,Ain,Rempart attenant à&nbsp un immeuble,15e siecle,45.9026312541, 5.17989678335 un immeuble,15e siecle,45.9026312541, 5.17989678335;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison du Petit-Saint-Georges,15e siecle,45.9034608141, 5.1798069842;
Perouges,Auvergne-Rhone-Alpes,Ain,Rempart attenant à&nbsp un immeuble,15e siecle,45.9037657681, 5.17998427005 un immeuble,15e siecle,45.9037657681, 5.17998427005;
Trevoux,Auvergne-Rhone-Alpes,Ain,Maison dite des Sires de Villars,15e siecle,45.9405254453, 4.77283230888;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison dite du Cadran Solaire,15e siecle,45.906105, 5.174851;
Perouges,Auvergne-Rhone-Alpes,Ain,Ecurie Gerlier,15e siecle,45.9033568145, 5.18034581934;
Perouges,Auvergne-Rhone-Alpes,Ain,Maison (restes),15e siecle,45.902755374, 5.18009470672;
Morance,Auvergne-Rhone-Alpes,Rhone,Domaine de Beaulieu,15e siecle,45.8893458313, 4.70179276954;
Curis-au-Mont-d'Or,Auvergne-Rhone-Alpes,Rhone,Domaine de Curis-au-Mont-d'Or dit domaine de la Trolanderie (egalement sur commune de Poleymieux-au-Mont-d'Or),15e siecle,45.8633613571, 4.81582855269;
Oingt,Auvergne-Rhone-Alpes,Rhone,Tour,15e siecle,45.947681478, 4.58249304128;
Saint-Laurent-de-Chamousset,Auvergne-Rhone-Alpes,Rhone,Ancienne eglise de Brullioles,15e siecle,45.7581362607, 4.45852883077;
Saint-Jean-de-Touslas,Auvergne-Rhone-Alpes,Rhone,Maison forte La Mouchonniere situee au hameau de la Mouchonniere,15e siecle,45.5830262936, 4.66991682318 situee au hameau de la Mouchonniere,15e siecle,45.5830262936, 4.66991682318;
Vauxrenard,Auvergne-Rhone-Alpes,Rhone,Domaine du chateau du Thil,15e siecle,46.2181518804, 4.65024445462;
Villefranche-sur-Saone,Auvergne-Rhone-Alpes,Rhone,Tour et remparts,15e siecle,45.9879509626, 4.71996504;
Ternay,Auvergne-Rhone-Alpes,Rhone,Prieure (ancien),15e siecle,45.608236, 4.808211;
Bibost,Auvergne-Rhone-Alpes,Rhone,Cimetiere,15e siecle,45.7990363177, 4.54802177726;
Liergues,Auvergne-Rhone-Alpes,Rhone,Eglise paroissiale Notre-Dame-de-l'Assomption,15e siecle,45.9694037376, 4.66435364452;
Lyon,Auvergne-Rhone-Alpes,Rhone,Eglise Saint-Paul,15e siecle,45.7666383512, 4.82713196854;
Lyon,Auvergne-Rhone-Alpes,Rhone,Palais archiepiscopal (ancien),15e siecle,45.7601269777, 4.82781397336;
Lyon,Auvergne-Rhone-Alpes,Rhone,Chateau de la Motte,15e siecle,45.744611394, 4.85262250796;
Cremieu,Auvergne-Rhone-Alpes,Isere,Porte de Ville dite Porte Neuve ou Porte Francois Ier,15e siecle,45.7261797346, 5.25499020148;
Saint-Martin-d'Uriage,Auvergne-Rhone-Alpes,Isere,Chateau d'Uriage,15e siecle,45.157825, 5.846201;
Ville-sous-Anjou,Auvergne-Rhone-Alpes,Isere,Ancienne eglise Saint-Didier,15e siecle,45.371701, 4.850546;
Saint-Martin-d'Heres,Auvergne-Rhone-Alpes,Isere,Couvent des Minimes (ancien),15e siecle,45.1806748887, 5.75310044571;
Pontcharra,Auvergne-Rhone-Alpes,Isere,Chateau de Bayard (ruines),15e siecle,45.423736858, 6.0188462316;
Le Cheylas,Auvergne-Rhone-Alpes,Isere,Manoir de la Tour,15e siecle,45.37080481, 5.98929140473;
Jarrie,Auvergne-Rhone-Alpes,Isere,Chateau de Bon Repos,15e siecle,45.11024518, 5.75645695544;
Cremieu,Auvergne-Rhone-Alpes,Isere,Halles (anciennes),15e siecle,45.7247319233, 5.25321802067;
Saint-Pierre-de-Chartreuse,Auvergne-Rhone-Alpes,Isere,Monastere de la Grande-Chartreuse,15e siecle,45.3644273553, 5.79285143809;
Virieu,Auvergne-Rhone-Alpes,Isere,Chateau de Virieu,15e siecle,45.4792883794, 5.47944348656;
Saint-Baudille-et-Pipet,Auvergne-Rhone-Alpes,Isere,Chateau de Montmeilleur,15e siecle,44.7952046902, 5.75832943246;
L'Albenc,Auvergne-Rhone-Alpes,Isere,Chateau de l'Alba,15e siecle,45.2263126965, 5.44210398933;
Saint-Verand,Auvergne-Rhone-Alpes,Isere,Chateau de Quincivet,15e siecle,45.1943225566, 5.34205960772;
Cremieu,Auvergne-Rhone-Alpes,Isere,Porte de Ville dite Porte de Lyon,15e siecle,45.7245765444, 5.24906291665;
Mens,Auvergne-Rhone-Alpes,Isere,Halle,15e siecle,44.8183091662, 5.75136569057;
Corenc,Auvergne-Rhone-Alpes,Isere,Chateau de Bouqueron,15e siecle,45.2148251903, 5.75738679421;
Grenoble,Auvergne-Rhone-Alpes,Isere,Palais de Justice,15e siecle,45.193217, 5.728399;
Cleppe,Auvergne-Rhone-Alpes,Loire,Borne frontiere des justices de Cleppe et de Poncins (egalement sur commune de Poncins),15e siecle,45.7455077631, 4.17429909137;
Le Crozet,Auvergne-Rhone-Alpes,Loire,Donjon (restes),15e siecle,46.1709995607, 3.8565132469;
Saint-Germain-Laval,Auvergne-Rhone-Alpes,Loire,Maison du 15e siecle en bois,15e siecle,45.8295436607, 4.01089311634;
Feurs,Auvergne-Rhone-Alpes,Loire,Eglise paroissiale Notre-Dame,15e siecle,45.7438004306, 4.22215647364;
Saint-Etienne-le-Molard,Auvergne-Rhone-Alpes,Loire,Chateau de la Bastie-d'Urfe,15e siecle,45.7276213102, 4.07878631206;
Estivareilles,Auvergne-Rhone-Alpes,Loire,Chateau de Marandiere,15e siecle,45.4315406914, 4.01442592514;
Ambierle,Auvergne-Rhone-Alpes,Loire,Ancien prieure Saint-Martin d'Ambierle,15e siecle,46.1041794319, 3.89568338883;
Pouilly-les-Feurs,Auvergne-Rhone-Alpes,Loire,Chateau de Pravieux (ancien),15e siecle,45.799372, 4.230616;
Pouilly-les-Feurs,Auvergne-Rhone-Alpes,Loire,Enceinte,15e siecle,45.7990065403, 4.23119462901;
Saint-Etienne,Auvergne-Rhone-Alpes,Loire,Grand'Eglise ou Eglise Saint-Etienne,15e siecle,45.4364281164, 4.38592264961;
Saint-Just-Saint-Rambert,Auvergne-Rhone-Alpes,Loire,Porte dite de Franchise à&nbsp Saint-Rambert,15e siecle,45.5004427442, 4.24240986863 Saint-Rambert,15e siecle,45.5004427442, 4.24240986863;
Poncins,Auvergne-Rhone-Alpes,Loire,Borne frontiere des Justices de Cleppe et de Poncins (egalement sur commune de Cleppe),15e siecle,45.732234, 4.153774;
Saint-Just-en-Chevalet,Auvergne-Rhone-Alpes,Loire,Chapelle Notre-Dame du Chateau,15e siecle,45.917168791, 3.84290990026;
La Pacaudiere,Auvergne-Rhone-Alpes,Loire,Maison Notre-Dame,15e siecle,46.1756473653, 3.8682333999;
La Roche-de-Glun,Auvergne-Rhone-Alpes,Drome,Maison dite de Diane de Poitiers,15e siecle,45.013350164, 4.84511242939;
Charmes-sur-l'Herbasse,Auvergne-Rhone-Alpes,Drome,Maison Proclamy,15e siecle,45.160449, 5.015762;
Saint-Paul-Trois-Chateaux,Auvergne-Rhone-Alpes,Drome,Ilot de la Tour Juiverie,15e siecle,44.3488922741, 4.768487757;
Die,Auvergne-Rhone-Alpes,Drome,Maison dite du notaire Chambron,15e siecle,44.7532694793, 5.37074860097;
Crepol,Auvergne-Rhone-Alpes,Drome,Tour du cimetiere,15e siecle,45.177094, 5.068427;
Dieulefit,Auvergne-Rhone-Alpes,Drome,Eglise Saint-Pierre (vieille),15e siecle,44.523045, 5.066102;
Bourdeaux,Auvergne-Rhone-Alpes,Drome,Maison du 15e siecle,15e siecle,44.584853, 5.133294;
Saint-Sauveur-Gouvernet,Auvergne-Rhone-Alpes,Drome,Chateau de Gouvernet (ruines),15e siecle,44.3289282043, 5.38811811663;
Manthes,Auvergne-Rhone-Alpes,Drome,Prieure (ancien),15e siecle,45.301550018, 5.00780997355;
Chatillon-Saint-Jean,Auvergne-Rhone-Alpes,Drome,Chateau de Chatillon,15e siecle,45.086930255, 5.13645941503;
Saint-Restitut,Auvergne-Rhone-Alpes,Drome,Chapelle funeraire (ruines),15e siecle,44.3313283388, 4.78877874934;
Suze-la-Rousse,Auvergne-Rhone-Alpes,Drome,Maison de Ville (ancienne),15e siecle,44.294752, 4.849842;
Devesset,Auvergne-Rhone-Alpes,Ardeche,Commanderie de l'ordre de Malte (ancienne),15e siecle,45.067892828, 4.39119169565;
Sainte-Eulalie,Auvergne-Rhone-Alpes,Ardeche,ferme de Clastres,15e siecle,44.8097855953, 4.18940691858;
Usclades-et-Rieutord,Auvergne-Rhone-Alpes,Ardeche,La ferme de La Besse,15e siecle,44.7622433258, 4.16656053006;
Aubenas,Auvergne-Rhone-Alpes,Ardeche,Eglise Saint-Laurent,15e siecle,44.612742, 4.392164;
Berzeme,Auvergne-Rhone-Alpes,Ardeche,Chateau de Berzeme,15e siecle,44.6520189337, 4.56658961996;
Saint-Andre-en-Vivarais,Auvergne-Rhone-Alpes,Ardeche,Chateau de Beaume,15e siecle,45.1050924343, 4.42446586223;
Sagnes-et-Goudoulet,Auvergne-Rhone-Alpes,Ardeche,Ferme dite Ferme-Auberge,15e siecle,44.7902565862, 4.22559848494;
Beaumont,Auvergne-Rhone-Alpes,Ardeche,Pont du Gua sur la Beaume (egalement sur commune de Sanilhac),15e siecle,44.5423671422, 4.19068866745;
Rumilly,Auvergne-Rhone-Alpes,Haute-Savoie,Eglise Sainte-Agathe,15e siecle,45.8666179954, 5.94449717071;
Thorens-Glieres,Auvergne-Rhone-Alpes,Haute-Savoie,Chateau de Thorens appele par erreur Chateau de Sales,15e siecle,45.9942187804, 6.25591579076 appele par erreur Chateau de Sales,15e siecle,45.9942187804, 6.25591579076;
Annecy,Auvergne-Rhone-Alpes,Haute-Savoie,Eglise Saint-Maurice,15e siecle,45.901548, 6.125486;
Les Clefs,Auvergne-Rhone-Alpes,Haute-Savoie,Pont dit Pont Romain,15e siecle,45.8632352984, 6.32757211767;
Cruseilles,Auvergne-Rhone-Alpes,Haute-Savoie,Maison dite de Fesigny,15e siecle,46.03514, 6.106607;
Lully,Auvergne-Rhone-Alpes,Haute-Savoie,Chateau de Buffavent,15e siecle,46.2882277653, 6.40674410528;
Minzier,Auvergne-Rhone-Alpes,Haute-Savoie,Chateau de Novery,15e siecle,46.0581307733, 5.98367331949;
Le Reposoir,Auvergne-Rhone-Alpes,Haute-Savoie,Ancienne chartreuse actuellement couvent de Carmelites,15e siecle,46.0050700445, 6.53773294374 actuellement couvent de Carmelites,15e siecle,46.0050700445, 6.53773294374;
